,currency,event,impact,previous_value,forecast_value,actual_value
11279,JPY,Household Spending y/y,Low Impact Expected,-0.2%,3.3%,6.9%
11280,JPY,BSI Manufacturing Index,Low Impact Expected,7.9,8.2,-7.6
11281,EUR,German Final CPI m/m,Low Impact Expected,0.9%,0.9%,0.9%
11282,GBP,Construction Output m/m,Low Impact Expected,2.0%,0.5%,1.1%
11283,GBP,GDP m/m,Low Impact Expected,-0.2%,0.1%,0.8%
11284,GBP,Index of Services 3m/3m,Low Impact Expected,1.2%,0.8%,1.0%
11285,GBP,Industrial Production m/m,Low Impact Expected,0.3%,0.1%,0.7%
11286,GBP,Manufacturing Production m/m,Low Impact Expected,0.2%,0.2%,0.8%
11287,GBP,Goods Trade Balance,Low Impact Expected,-12.4B,-12.6B,-26.5B
11288,CNY,M2 Money Supply y/y,Low Impact Expected,9.8%,9.5%,9.2%
11289,CNY,New Loans,Low Impact Expected,3980B,1425B,1230B
11290,EUR,Italian Quarterly Unemployment Rate,Low Impact Expected,9.1%,9.0%,9.1%
11291,GBP,Consumer Inflation Expectations,Low Impact Expected,3.2%,,4.3%
11292,CAD,Employment Change,High Impact Expected,-200.1K,132.0K,336.6K
11293,CAD,Unemployment Rate,High Impact Expected,6.5%,6.2%,5.5%
11294,CAD,Capacity Utilization Rate,Low Impact Expected,81.4%,81.9%,82.9%
11295,GBP,NIESR GDP Estimate,Low Impact Expected,1.1%,,1.0%
11296,USD,Prelim UoM Consumer Sentiment,High Impact Expected,62.8,61.4,59.7
11297,USD,Prelim UoM Inflation Expectations,Low Impact Expected,4.9%,,5.4%
11298,CAD,Daylight Saving Time Shift,Non-Economic,,,
11299,USD,Daylight Saving Time Shift,Non-Economic,,,
11300,CAD,Daylight Saving Time Shift,Non-Economic,,,
11301,USD,Daylight Saving Time Shift,Non-Economic,,,
11302,NZD,Visitor Arrivals m/m,Low Impact Expected,16.0%,,-34.5%
11303,EUR,German WPI m/m,Low Impact Expected,2.3%,0.9%,1.7%
11304,CNY,Foreign Direct Investment ytd/y,Low Impact Expected,11.6%,,37.9%
11305,EUR,French Trade Balance,Low Impact Expected,-11.4B,-9.8B,-8.0B
11306,CHF,SECO Economic Forecasts,Low Impact Expected,,,
11307,EUR,Eurogroup Meetings,Low Impact Expected,,,
11308,GBP,CB Leading Index m/m,Low Impact Expected,0.1%,,0.2%
11309,NZD,Visitor Arrivals m/m,Low Impact Expected,16.0%,,-34.5%
11310,EUR,German WPI m/m,Low Impact Expected,2.3%,0.9%,1.7%
11311,CNY,Foreign Direct Investment ytd/y,Low Impact Expected,11.6%,,37.9%
11312,EUR,French Trade Balance,Low Impact Expected,-11.4B,-9.8B,-8.0B
11313,CHF,SECO Economic Forecasts,Low Impact Expected,,,
11314,EUR,Eurogroup Meetings,Low Impact Expected,,,
11315,GBP,CB Leading Index m/m,Low Impact Expected,0.1%,,0.2%
11316,NZD,BusinessNZ Services Index,Low Impact Expected,46.0,,48.6
11317,AUD,Monetary Policy Meeting Minutes,High Impact Expected,,,
11318,AUD,HPI q/q,Low Impact Expected,5.0%,3.4%,4.7%
11319,CNY,Retail Sales y/y,Medium Impact Expected,1.7%,3.0%,6.7%
11320,CNY,Fixed Asset Investment ytd/y,Low Impact Expected,4.9%,5.0%,12.2%
11321,CNY,Industrial Production y/y,Low Impact Expected,4.3%,4.0%,7.5%
11322,CNY,NBS Press Conference,Low Impact Expected,,,
11323,CNY,Unemployment Rate,Low Impact Expected,5.1%,5.1%,5.5%
11324,GBP,Average Earnings Index 3m/y,Low Impact Expected,4.6%,4.6%,4.8%
11325,GBP,Claimant Count Change,Low Impact Expected,-67.3K,20.3K,-48.1K
11326,GBP,Unemployment Rate,Low Impact Expected,4.1%,4.0%,3.9%
11327,CHF,PPI m/m,Low Impact Expected,0.6%,0.4%,0.4%
11328,EUR,French Final CPI m/m,Low Impact Expected,0.7%,0.7%,0.8%
11329,EUR,ZEW Economic Sentiment,Medium Impact Expected,48.6,10.3,-38.7
11330,EUR,German ZEW Economic Sentiment,Medium Impact Expected,54.3,5.2,-39.3
11331,EUR,Industrial Production m/m,Low Impact Expected,1.3%,0.0%,0.0%
11332,EUR,ECOFIN Meetings,Low Impact Expected,,,
11333,CAD,Housing Starts,Low Impact Expected,229K,241K,247K
11334,CAD,Manufacturing Sales m/m,Low Impact Expected,0.8%,1.3%,0.6%
11335,USD,PPI m/m,High Impact Expected,1.0%,1.0%,0.8%
11336,USD,Core PPI m/m,Medium Impact Expected,0.8%,0.6%,0.2%
11337,USD,Empire State Manufacturing Index,Medium Impact Expected,3.1,6.5,-11.8
11338,NZD,GDT Price Index,Low Impact Expected,5.1%,,-0.9%
11339,EUR,ECB President Lagarde Speaks,Medium Impact Expected,,,
11340,USD,TIC Long-Term Purchases,Low Impact Expected,114.5B,90.0B,58.8B
11341,NZD,BusinessNZ Services Index,Low Impact Expected,46.0,,48.6
11342,AUD,Monetary Policy Meeting Minutes,High Impact Expected,,,
11343,AUD,HPI q/q,Low Impact Expected,5.0%,3.4%,4.7%
11344,CNY,Retail Sales y/y,Medium Impact Expected,1.7%,3.0%,6.7%
11345,CNY,Fixed Asset Investment ytd/y,Low Impact Expected,4.9%,5.0%,12.2%
11346,CNY,Industrial Production y/y,Low Impact Expected,4.3%,4.0%,7.5%
11347,CNY,NBS Press Conference,Low Impact Expected,,,
11348,CNY,Unemployment Rate,Low Impact Expected,5.1%,5.1%,5.5%
11349,GBP,Average Earnings Index 3m/y,Low Impact Expected,4.6%,4.6%,4.8%
11350,GBP,Claimant Count Change,Low Impact Expected,-67.3K,20.3K,-48.1K
11351,GBP,Unemployment Rate,Low Impact Expected,4.1%,4.0%,3.9%
11352,CHF,PPI m/m,Low Impact Expected,0.6%,0.4%,0.4%
11353,EUR,French Final CPI m/m,Low Impact Expected,0.7%,0.7%,0.8%
11354,EUR,German ZEW Economic Sentiment,Medium Impact Expected,54.3,5.2,-39.3
11355,EUR,ZEW Economic Sentiment,Medium Impact Expected,48.6,10.3,-38.7
11356,EUR,Industrial Production m/m,Low Impact Expected,1.3%,0.0%,0.0%
11357,EUR,ECOFIN Meetings,Low Impact Expected,,,
11358,CAD,Housing Starts,Low Impact Expected,229K,241K,247K
11359,CAD,Manufacturing Sales m/m,Low Impact Expected,0.8%,1.3%,0.6%
11360,USD,PPI m/m,High Impact Expected,1.0%,1.0%,0.8%
11361,USD,Core PPI m/m,Medium Impact Expected,0.8%,0.6%,0.2%
11362,USD,Empire State Manufacturing Index,Medium Impact Expected,3.1,6.5,-11.8
11363,NZD,GDT Price Index,Low Impact Expected,5.1%,,-0.9%
11364,EUR,ECB President Lagarde Speaks,Medium Impact Expected,,,
11365,USD,TIC Long-Term Purchases,Low Impact Expected,114.5B,90.0B,58.8B
11366,NZD,Current Account,Low Impact Expected,-8.25B,-6.21B,-7.26B
11367,AUD,MI Leading Index m/m,Low Impact Expected,-0.3%,,-0.2%
11368,JPY,Trade Balance,Low Impact Expected,-0.78T,-0.39T,-1.03T
11369,CNY,New Home Prices m/m,Low Impact Expected,-0.04%,,-0.13%
11370,JPY,Revised Industrial Production m/m,Low Impact Expected,-1.3%,-1.3%,-0.8%
11371,EUR,German 10-y Bond Auction,Low Impact Expected,-0.20|1.2,,0.38|1.3
11372,CAD,CPI m/m,High Impact Expected,0.9%,0.9%,1.0%
11373,CAD,Common CPI y/y,Medium Impact Expected,2.4%,2.4%,2.6%
11374,CAD,Median CPI y/y,Medium Impact Expected,3.4%,3.5%,3.5%
11375,CAD,Trimmed CPI y/y,Medium Impact Expected,4.0%,4.2%,4.3%
11376,CAD,Wholesale Sales m/m,Low Impact Expected,1.0%,4.0%,4.2%
11377,USD,Core Retail Sales m/m,High Impact Expected,4.4%,0.9%,0.2%
11378,USD,Retail Sales m/m,High Impact Expected,4.9%,0.4%,0.3%
11379,USD,Import Prices m/m,Low Impact Expected,1.9%,1.7%,1.4%
11380,CAD,Core CPI m/m,Low Impact Expected,0.8%,,0.8%
11381,USD,Business Inventories m/m,Low Impact Expected,2.4%,1.2%,1.1%
11382,USD,NAHB Housing Market Index,Low Impact Expected,81,81,79
11383,USD,Crude Oil Inventories,Medium Impact Expected,-1.9M,-1.8M,4.3M
11384,USD,President Biden Speaks,Low Impact Expected,,,
11385,USD,Federal Funds Rate,High Impact Expected,<0.25%,0.50%,0.50%
11386,USD,FOMC Economic Projections,High Impact Expected,,,
11387,USD,FOMC Statement,High Impact Expected,,,
11388,USD,FOMC Press Conference,High Impact Expected,,,
11389,NZD,Current Account,Low Impact Expected,-8.25B,-6.21B,-7.26B
11390,AUD,MI Leading Index m/m,Low Impact Expected,-0.3%,,-0.2%
11391,JPY,Trade Balance,Low Impact Expected,-0.78T,-0.39T,-1.03T
11392,CNY,New Home Prices m/m,Low Impact Expected,-0.04%,,-0.13%
11393,JPY,Revised Industrial Production m/m,Low Impact Expected,-1.3%,-1.3%,-0.8%
11394,EUR,German 10-y Bond Auction,Low Impact Expected,-0.20|1.2,,0.38|1.3
11395,CAD,CPI m/m,High Impact Expected,0.9%,0.9%,1.0%
11396,CAD,Common CPI y/y,Medium Impact Expected,2.4%,2.4%,2.6%
11397,CAD,Median CPI y/y,Medium Impact Expected,3.4%,3.5%,3.5%
11398,CAD,Trimmed CPI y/y,Medium Impact Expected,4.0%,4.2%,4.3%
11399,CAD,Wholesale Sales m/m,Low Impact Expected,1.0%,4.0%,4.2%
11400,USD,Core Retail Sales m/m,High Impact Expected,4.4%,0.9%,0.2%
11401,USD,Retail Sales m/m,High Impact Expected,4.9%,0.4%,0.3%
11402,USD,Import Prices m/m,Low Impact Expected,1.9%,1.7%,1.4%
11403,CAD,Core CPI m/m,Low Impact Expected,0.8%,,0.8%
11404,USD,Business Inventories m/m,Low Impact Expected,2.4%,1.2%,1.1%
11405,USD,NAHB Housing Market Index,Low Impact Expected,81,81,79
11406,USD,Crude Oil Inventories,Medium Impact Expected,-1.9M,-1.8M,4.3M
11407,USD,President Biden Speaks,Low Impact Expected,,,
11408,USD,Federal Funds Rate,High Impact Expected,<0.25%,0.50%,0.50%
11409,USD,FOMC Economic Projections,High Impact Expected,,,
11410,USD,FOMC Statement,High Impact Expected,,,
11411,USD,FOMC Press Conference,High Impact Expected,,,
11412,NZD,GDP q/q,High Impact Expected,-3.6%,3.3%,3.0%
11413,JPY,Core Machinery Orders m/m,Low Impact Expected,3.6%,-2.0%,-2.0%
11414,AUD,Employment Change,High Impact Expected,28.3K,36.0K,77.4K
11415,AUD,Unemployment Rate,High Impact Expected,4.2%,4.1%,4.0%
11416,AUD,RBA Bulletin,Low Impact Expected,,,
11417,CHF,Trade Balance,Low Impact Expected,3.07B,4.20B,5.95B
11418,EUR,ECB President Lagarde Speaks,Medium Impact Expected,,,
11419,EUR,Final Core CPI y/y,Low Impact Expected,2.7%,2.7%,2.7%
11420,EUR,Final CPI y/y,Low Impact Expected,5.8%,5.8%,5.9%
11421,GBP,Monetary Policy Summary,High Impact Expected,,,
11422,GBP,MPC Official Bank Rate Votes,High Impact Expected,9-0-0,9-0-0,8-0-1
11423,GBP,Official Bank Rate,High Impact Expected,0.50%,0.75%,0.75%
11424,GBP,BOE Inflation Letter,Medium Impact Expected,,,
11425,USD,Philly Fed Manufacturing Index,Medium Impact Expected,16.0,15.1,27.4
11426,USD,Unemployment Claims,Medium Impact Expected,229K,221K,214K
11427,USD,Building Permits,Low Impact Expected,1.90M,1.84M,1.86M
11428,USD,Housing Starts,Low Impact Expected,1.66M,1.70M,1.77M
11429,USD,Industrial Production m/m,Medium Impact Expected,1.4%,0.5%,0.5%
11430,USD,Capacity Utilization Rate,Low Impact Expected,77.3%,77.9%,77.6%
11431,USD,Natural Gas Storage,Low Impact Expected,-124B,-71B,-79B
11432,NZD,GDP q/q,High Impact Expected,-3.6%,3.3%,3.0%
11433,JPY,Core Machinery Orders m/m,Low Impact Expected,3.6%,-2.0%,-2.0%
11434,AUD,Employment Change,High Impact Expected,28.3K,36.0K,77.4K
11435,AUD,Unemployment Rate,High Impact Expected,4.2%,4.1%,4.0%
11436,AUD,RBA Bulletin,Low Impact Expected,,,
11437,CHF,Trade Balance,Low Impact Expected,3.07B,4.20B,5.95B
11438,EUR,ECB President Lagarde Speaks,Medium Impact Expected,,,
11439,EUR,Final Core CPI y/y,Low Impact Expected,2.7%,2.7%,2.7%
11440,EUR,Final CPI y/y,Low Impact Expected,5.8%,5.8%,5.9%
11441,GBP,Monetary Policy Summary,High Impact Expected,,,
11442,GBP,MPC Official Bank Rate Votes,High Impact Expected,9-0-0,9-0-0,8-0-1
11443,GBP,Official Bank Rate,High Impact Expected,0.50%,0.75%,0.75%
11444,GBP,BOE Inflation Letter,Medium Impact Expected,,,
11445,USD,Philly Fed Manufacturing Index,Medium Impact Expected,16.0,15.1,27.4
11446,USD,Unemployment Claims,Medium Impact Expected,229K,221K,214K
11447,USD,Building Permits,Low Impact Expected,1.90M,1.84M,1.86M
11448,USD,Housing Starts,Low Impact Expected,1.66M,1.70M,1.77M
11449,USD,Industrial Production m/m,Medium Impact Expected,1.4%,0.5%,0.5%
11450,USD,Capacity Utilization Rate,Low Impact Expected,77.3%,77.9%,77.6%
11451,USD,Natural Gas Storage,Low Impact Expected,-124B,-71B,-79B
11452,JPY,National Core CPI y/y,Low Impact Expected,0.2%,0.6%,0.6%
11453,JPY,Monetary Policy Statement,Medium Impact Expected,,,
11454,JPY,BOJ Policy Rate,Low Impact Expected,-0.10%,-0.10%,-0.10%
11455,JPY,Tertiary Industry Activity m/m,Low Impact Expected,0.1%,-1.0%,-0.7%
11456,JPY,BOJ Press Conference,Medium Impact Expected,,,
11457,EUR,Italian Trade Balance,Low Impact Expected,1.10B,3.05B,-5.05B
11458,EUR,Trade Balance,Low Impact Expected,-9.7B,-9.1B,-7.7B
11459,CAD,Core Retail Sales m/m,Medium Impact Expected,-2.7%,2.3%,2.5%
11460,CAD,Retail Sales m/m,Medium Impact Expected,-2.0%,2.4%,3.2%
11461,CAD,Foreign Securities Purchases,Low Impact Expected,37.54B,34.50B,13.49B
11462,CAD,NHPI m/m,Low Impact Expected,0.9%,0.6%,1.1%
11463,USD,Existing Home Sales,Medium Impact Expected,6.49M,6.10M,6.02M
11464,USD,CB Leading Index m/m,Low Impact Expected,-0.5%,0.3%,0.3%
11465,USD,FOMC Member Bowman Speaks,Low Impact Expected,,,
11466,JPY,National Core CPI y/y,Low Impact Expected,0.2%,0.6%,0.6%
11467,JPY,Monetary Policy Statement,Medium Impact Expected,,,
11468,JPY,BOJ Policy Rate,Low Impact Expected,-0.10%,-0.10%,-0.10%
11469,JPY,Tertiary Industry Activity m/m,Low Impact Expected,0.1%,-1.0%,-0.7%
11470,JPY,BOJ Press Conference,Medium Impact Expected,,,
11471,EUR,Italian Trade Balance,Low Impact Expected,1.10B,3.05B,-5.05B
11472,EUR,Trade Balance,Low Impact Expected,-9.7B,-9.1B,-7.7B
11473,CAD,Core Retail Sales m/m,Medium Impact Expected,-2.7%,2.3%,2.5%
11474,CAD,Retail Sales m/m,Medium Impact Expected,-2.0%,2.4%,3.2%
11475,CAD,Foreign Securities Purchases,Low Impact Expected,37.54B,34.50B,13.49B
11476,CAD,NHPI m/m,Low Impact Expected,0.9%,0.6%,1.1%
11477,USD,Existing Home Sales,Medium Impact Expected,6.49M,6.10M,6.02M
11478,USD,CB Leading Index m/m,Low Impact Expected,-0.5%,0.3%,0.3%
11479,USD,FOMC Member Bowman Speaks,Low Impact Expected,,,
11480,NZD,Trade Balance,Low Impact Expected,-1126M,-808M,-385M
11481,JPY,Bank Holiday,Non-Economic,,,
11482,GBP,Rightmove HPI m/m,Low Impact Expected,2.3%,,1.7%
11483,CNY,1-y Loan Prime Rate,Medium Impact Expected,3.70%,3.70%,3.70%
11484,CNY,5-y Loan Prime Rate,Medium Impact Expected,4.60%,4.60%,4.60%
11485,NZD,Credit Card Spending y/y,Low Impact Expected,5.1%,,1.0%
11486,EUR,German PPI m/m,Low Impact Expected,2.2%,1.8%,1.4%
11487,EUR,ECB President Lagarde Speaks,Medium Impact Expected,,,
11488,EUR,German Buba Monthly Report,Low Impact Expected,,,
11489,USD,Fed Chair Powell Speaks,High Impact Expected,,,
11490,NZD,Westpac Consumer Sentiment,Low Impact Expected,99.1,,92.1
11491,NZD,Trade Balance,Low Impact Expected,-1126M,-808M,-385M
11492,JPY,Bank Holiday,Non-Economic,,,
11493,GBP,Rightmove HPI m/m,Low Impact Expected,2.3%,,1.7%
11494,CNY,1-y Loan Prime Rate,Medium Impact Expected,3.70%,3.70%,3.70%
11495,CNY,5-y Loan Prime Rate,Medium Impact Expected,4.60%,4.60%,4.60%
11496,NZD,Credit Card Spending y/y,Low Impact Expected,5.1%,,1.0%
11497,EUR,German PPI m/m,Low Impact Expected,2.2%,1.8%,1.4%
11498,EUR,ECB President Lagarde Speaks,Medium Impact Expected,,,
11499,EUR,German Buba Monthly Report,Low Impact Expected,,,
11500,USD,Fed Chair Powell Speaks,High Impact Expected,,,
11501,NZD,Westpac Consumer Sentiment,Low Impact Expected,99.1,,92.1
11502,AUD,RBA Gov Lowe Speaks,Medium Impact Expected,,,
11503,GBP,Public Sector Net Borrowing,Low Impact Expected,-7.8B,8.5B,12.3B
11504,EUR,Current Account,Low Impact Expected,22.6B,24.3B,22.6B
11505,GBP,CBI Industrial Order Expectations,Low Impact Expected,20,16,26
11506,CAD,IPPI m/m,Low Impact Expected,3.0%,2.6%,3.1%
11507,CAD,RMPI m/m,Low Impact Expected,6.5%,5.4%,6.0%
11508,EUR,ECB President Lagarde Speaks,Medium Impact Expected,,,
11509,USD,Richmond Manufacturing Index,Low Impact Expected,1,2,13
11510,USD,FOMC Member Williams Speaks,Low Impact Expected,,,
11511,CHF,SNB Chairman Jordan Speaks,Medium Impact Expected,,,
11512,GBP,MPC Member Cunliffe Speaks,Low Impact Expected,,,
11513,AUD,RBA Gov Lowe Speaks,Medium Impact Expected,,,
11514,GBP,Public Sector Net Borrowing,Low Impact Expected,-7.8B,8.5B,12.3B
11515,EUR,Current Account,Low Impact Expected,22.6B,24.3B,22.6B
11516,GBP,CBI Industrial Order Expectations,Low Impact Expected,20,16,26
11517,CAD,IPPI m/m,Low Impact Expected,3.0%,2.6%,3.1%
11518,CAD,RMPI m/m,Low Impact Expected,6.5%,5.4%,6.0%
11519,EUR,ECB President Lagarde Speaks,Medium Impact Expected,,,
11520,USD,Richmond Manufacturing Index,Low Impact Expected,1,2,13
11521,USD,FOMC Member Williams Speaks,Low Impact Expected,,,
11522,CHF,SNB Chairman Jordan Speaks,Medium Impact Expected,,,
11523,GBP,MPC Member Cunliffe Speaks,Low Impact Expected,,,
11524,USD,FOMC Member Mester Speaks,Medium Impact Expected,,,
11525,JPY,BOJ Core CPI y/y,Low Impact Expected,0.8%,0.8%,1.0%
11526,GBP,CPI y/y,High Impact Expected,5.5%,6.0%,6.2%
11527,GBP,Core CPI y/y,Low Impact Expected,4.4%,5.0%,5.2%
11528,GBP,PPI Input m/m,Low Impact Expected,1.5%,1.2%,1.4%
11529,GBP,PPI Output m/m,Low Impact Expected,1.2%,0.9%,0.8%
11530,GBP,RPI y/y,Low Impact Expected,7.8%,8.2%,8.2%
11531,GBP,HPI y/y,Low Impact Expected,10.0%,10.2%,9.6%
11532,GBP,BOE Gov Bailey Speaks,High Impact Expected,,,
11533,USD,Fed Chair Powell Speaks,High Impact Expected,,,
11534,GBP,Annual Budget Release,High Impact Expected,,,
11535,USD,New Home Sales,Low Impact Expected,788K,809K,772K
11536,AUD,CB Leading Index m/m,Low Impact Expected,0.2%,,-0.4%
11537,USD,Crude Oil Inventories,Medium Impact Expected,4.3M,-0.7M,-2.5M
11538,EUR,Consumer Confidence,Low Impact Expected,-9,-13,-19
11539,USD,FOMC Member Bullard Speaks,Medium Impact Expected,,,
11540,USD,FOMC Member Mester Speaks,Medium Impact Expected,,,
11541,JPY,BOJ Core CPI y/y,Low Impact Expected,0.8%,0.8%,1.0%
11542,GBP,CPI y/y,High Impact Expected,5.5%,6.0%,6.2%
11543,GBP,Core CPI y/y,Low Impact Expected,4.4%,5.0%,5.2%
11544,GBP,PPI Input m/m,Low Impact Expected,1.5%,1.2%,1.4%
11545,GBP,PPI Output m/m,Low Impact Expected,1.2%,0.9%,0.8%
11546,GBP,RPI y/y,Low Impact Expected,7.8%,8.2%,8.2%
11547,GBP,HPI y/y,Low Impact Expected,10.0%,10.2%,9.6%
11548,GBP,BOE Gov Bailey Speaks,High Impact Expected,,,
11549,USD,Fed Chair Powell Speaks,High Impact Expected,,,
11550,GBP,Annual Budget Release,High Impact Expected,,,
11551,USD,New Home Sales,Low Impact Expected,788K,809K,772K
11552,AUD,CB Leading Index m/m,Low Impact Expected,0.2%,,-0.4%
11553,USD,Crude Oil Inventories,Medium Impact Expected,4.3M,-0.7M,-2.5M
11554,EUR,Consumer Confidence,Low Impact Expected,-9,-13,-19
11555,USD,FOMC Member Bullard Speaks,Medium Impact Expected,,,
11556,AUD,Flash Manufacturing PMI,Low Impact Expected,57.0,,57.3
11557,AUD,Flash Services PMI,Low Impact Expected,57.4,,57.9
11558,JPY,Monetary Policy Meeting Minutes,Low Impact Expected,,,
11559,JPY,Flash Manufacturing PMI,Low Impact Expected,52.7,53.5,53.2
11560,USD,FOMC Member Bullard Speaks,Medium Impact Expected,,,
11561,EUR,French Flash Services PMI,Medium Impact Expected,55.5,55.0,57.4
11562,EUR,French Flash Manufacturing PMI,Low Impact Expected,57.2,55.1,54.8
11563,CHF,SNB Monetary Policy Assessment,High Impact Expected,,,
11564,CHF,SNB Policy Rate,Medium Impact Expected,-0.75%,-0.75%,-0.75%
11565,EUR,German Flash Manufacturing PMI,High Impact Expected,58.4,55.9,57.6
11566,EUR,German Flash Services PMI,High Impact Expected,55.8,53.6,55.0
11567,EUR,ECB Economic Bulletin,Low Impact Expected,,,
11568,EUR,Flash Manufacturing PMI,Low Impact Expected,58.2,56.0,57.0
11569,EUR,Flash Services PMI,Low Impact Expected,55.5,54.3,54.8
11570,GBP,Flash Manufacturing PMI,Medium Impact Expected,58.0,57.0,55.5
11571,GBP,Flash Services PMI,Medium Impact Expected,60.5,58.0,61.0
11572,GBP,CBI Realized Sales,Low Impact Expected,14,11,9
11573,USD,Core Durable Goods Orders m/m,Medium Impact Expected,0.8%,0.5%,-0.6%
11574,USD,Durable Goods Orders m/m,Medium Impact Expected,1.6%,-0.5%,-2.2%
11575,USD,Unemployment Claims,Medium Impact Expected,215K,210K,187K
11576,USD,Current Account,Low Impact Expected,-220B,-218B,-218B
11577,GBP,MPC Member Mann Speaks,Low Impact Expected,,,
11578,USD,FOMC Member Waller Speaks,Medium Impact Expected,,,
11579,USD,Flash Manufacturing PMI,Medium Impact Expected,57.3,56.6,58.5
11580,USD,Flash Services PMI,Medium Impact Expected,56.5,56.0,58.9
11581,USD,Natural Gas Storage,Low Impact Expected,-79B,-52B,-51B
11582,USD,President Biden Speaks,Low Impact Expected,,,
11583,AUD,Flash Manufacturing PMI,Low Impact Expected,57.0,,57.3
11584,AUD,Flash Services PMI,Low Impact Expected,57.4,,57.9
11585,JPY,Monetary Policy Meeting Minutes,Low Impact Expected,,,
11586,JPY,Flash Manufacturing PMI,Low Impact Expected,52.7,53.5,53.2
11587,USD,FOMC Member Bullard Speaks,Medium Impact Expected,,,
11588,EUR,French Flash Services PMI,Medium Impact Expected,55.5,55.0,57.4
11589,EUR,French Flash Manufacturing PMI,Low Impact Expected,57.2,55.1,54.8
11590,CHF,SNB Monetary Policy Assessment,High Impact Expected,,,
11591,CHF,SNB Policy Rate,Medium Impact Expected,-0.75%,-0.75%,-0.75%
11592,EUR,German Flash Manufacturing PMI,High Impact Expected,58.4,55.9,57.6
11593,EUR,German Flash Services PMI,High Impact Expected,55.8,53.6,55.0
11594,EUR,ECB Economic Bulletin,Low Impact Expected,,,
11595,EUR,Flash Manufacturing PMI,Low Impact Expected,58.2,56.0,57.0
11596,EUR,Flash Services PMI,Low Impact Expected,55.5,54.3,54.8
11597,GBP,Flash Manufacturing PMI,Medium Impact Expected,58.0,57.0,55.5
11598,GBP,Flash Services PMI,Medium Impact Expected,60.5,58.0,61.0
11599,GBP,CBI Realized Sales,Low Impact Expected,14,11,9
11600,USD,Core Durable Goods Orders m/m,Medium Impact Expected,0.8%,0.5%,-0.6%
11601,USD,Durable Goods Orders m/m,Medium Impact Expected,1.6%,-0.5%,-2.2%
11602,USD,Unemployment Claims,Medium Impact Expected,215K,210K,187K
11603,USD,Current Account,Low Impact Expected,-220B,-218B,-218B
11604,GBP,MPC Member Mann Speaks,Low Impact Expected,,,
11605,USD,FOMC Member Waller Speaks,Medium Impact Expected,,,
11606,USD,Flash Manufacturing PMI,Medium Impact Expected,57.3,56.6,58.5
11607,USD,Flash Services PMI,Medium Impact Expected,56.5,56.0,58.9
11608,USD,Natural Gas Storage,Low Impact Expected,-79B,-52B,-51B
11609,USD,President Biden Speaks,Low Impact Expected,,,
11610,JPY,Tokyo Core CPI y/y,Low Impact Expected,0.5%,0.7%,0.8%
11611,JPY,SPPI y/y,Low Impact Expected,1.2%,1.2%,1.1%
11612,GBP,GfK Consumer Confidence,Low Impact Expected,-26,-30,-31
